INFO 2025-11-27 03:46:20,710 autoreload Watching for file changes with StatReloader
WARNING 2025-11-27 03:47:00,852 log Not Found: /
WARNING 2025-11-27 03:47:00,853 basehttp "GET / HTTP/1.1" 404 2842
WARNING 2025-11-27 03:47:01,065 log Not Found: /favicon.ico
WARNING 2025-11-27 03:47:01,069 basehttp "GET /favicon.ico HTTP/1.1" 404 2893
INFO 2025-11-27 03:47:15,281 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-11-27 03:47:16,404 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4252
INFO 2025-11-27 03:47:18,168 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-11-27 03:47:18,181 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-11-27 03:47:18,545 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-11-27 03:47:18,546 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-11-27 03:47:18,547 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-11-27 03:47:18,585 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-11-27 03:47:18,635 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-11-27 03:47:57,581 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4489
INFO 2025-11-27 03:48:51,933 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4489
INFO 2025-11-27 03:50:17,663 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4252
INFO 2025-11-27 03:50:17,737 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-11-27 03:50:17,802 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-11-27 03:50:17,818 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-11-27 03:50:17,823 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-11-27 03:50:17,832 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-11-27 03:50:18,477 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-11-27 03:50:18,477 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
WARNING 2025-11-27 03:50:21,979 log Not Found: /favicon.ico
WARNING 2025-11-27 03:50:21,981 basehttp "GET /favicon.ico HTTP/1.1" 404 2893
INFO 2025-11-27 03:51:26,002 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4489
INFO 2025-11-27 03:52:03,062 basehttp "GET /api/auth/token HTTP/1.1" 301 0
WARNING 2025-11-27 03:52:03,971 log Method Not Allowed: /api/auth/token/
WARNING 2025-11-27 03:52:03,974 basehttp "GET /api/auth/token/ HTTP/1.1" 405 7674
INFO 2025-11-27 03:52:04,335 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-11-27 03:52:04,350 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-11-27 03:52:04,354 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2025-11-27 03:52:04,372 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-11-27 03:52:04,382 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2025-11-27 03:52:04,573 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-11-27 03:52:04,578 basehttp "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2025-11-27 03:52:04,609 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2025-11-27 03:52:04,664 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-11-27 03:52:04,670 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-11-27 03:52:04,714 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
WARNING 2025-11-27 03:52:42,881 log Unauthorized: /api/auth/token/
WARNING 2025-11-27 03:52:42,883 basehttp "POST /api/auth/token/ HTTP/1.1" 401 7644
INFO 2025-11-27 03:54:24,395 autoreload C:\Users\HP\Desktop\EsanteGlobal\Backend\backendGlobal\backendGlobal\settings.py changed, reloading.
INFO 2025-11-27 03:54:26,286 autoreload Watching for file changes with StatReloader
INFO 2025-11-27 03:57:47,298 signals Nouvel utilisateur créé : ADMIN-001 - Admin System
INFO 2025-11-27 03:57:48,044 signals Email de bienvenue envoyé à admin@example.com
INFO 2025-11-27 03:57:48,181 signals Groupes mis à jour pour l'utilisateur ADMIN-001
WARNING 2025-11-27 03:57:48,483 signals Permission non trouvée: manage_users
WARNING 2025-11-27 03:57:48,485 signals Permission non trouvée: manage_health_centers
WARNING 2025-11-27 03:57:48,486 signals Permission non trouvée: view_statistics
INFO 2025-11-27 03:57:48,486 signals Permissions attribuées à l'utilisateur ADMIN-001 (Ministère de la Santé)
INFO 2025-11-27 03:57:59,343 autoreload Watching for file changes with StatReloader
INFO 2025-11-27 03:58:24,730 autoreload Watching for file changes with StatReloader
WARNING 2025-11-27 03:58:41,725 log Not Found: /
WARNING 2025-11-27 03:58:41,732 basehttp "GET / HTTP/1.1" 404 2842
INFO 2025-11-27 03:58:48,308 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-11-27 03:58:48,826 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4252
WARNING 2025-11-27 03:59:18,871 backends Tentative de connexion échouée - Mot de passe incorrect pour ADMIN-001
INFO 2025-11-27 03:59:18,886 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4489
INFO 2025-11-27 04:00:59,963 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-11-27 04:01:00,108 basehttp "GET /admin/ HTTP/1.1" 200 5972
INFO 2025-11-27 04:01:00,621 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
